n	||x*-xk||	||x*-xk||/||x*||
2	1.4895204919483639E-15	6.661338147750939E-16
4	1.7920100176489953E-12	3.2717476998052854E-13
8	1.6908654894889405E-6	1.1838426348508176E-7
16	188.66262055703643	4.8777559326122395
32	10478.183423112017	97.96546052195093
64	190512.28420288744	637.0258982123971
128	315300.25515436043	374.9156295543323
256	1394636.5413792343	588.0191073225939
512	8809284.36080671	1315.1056952623853
1024	5.056794136949608E7	2670.9638415645727

